role,champ_ally,champ_enemy,games,wins,winrate
bot,Aphelios,Sivir,1,1,1.0
bot,Ashe,Kaisa,2,1,0.5
bot,Ashe,Caitlyn,1,1,1.0
bot,Ashe,Samira,1,0,0.0
bot,Caitlyn,Jhin,1,1,1.0
bot,Caitlyn,Yunara,1,1,1.0
bot,Corki,Jhin,1,0,0.0
bot,Draven,Twitch,1,0,0.0
bot,Ezreal,Lucian,1,1,1.0
bot,Ezreal,Tristana,1,1,1.0
bot,Ezreal,Yunara,1,1,1.0
bot,Jhin,Jinx,1,1,1.0
bot,Jhin,Kaisa,1,1,1.0
bot,Jhin,TahmKench,1,0,0.0
bot,Jinx,KogMaw,1,0,0.0
bot,Jinx,Smolder,1,1,1.0
bot,Kaisa,Lucian,1,1,1.0
bot,Kaisa,Samira,1,1,1.0
bot,Lux,Caitlyn,1,0,0.0
bot,MissFortune,Zeri,1,1,1.0
bot,Samira,Sivir,1,0,0.0
bot,Sivir,Corki,1,0,0.0
bot,Sivir,Jhin,1,1,1.0
bot,Smolder,Ashe,1,1,1.0
bot,Smolder,Jhin,1,0,0.0
bot,Smolder,Twitch,1,1,1.0
bot,Tristana,Ashe,1,0,0.0
bot,Tristana,Caitlyn,1,0,0.0
bot,Tristana,Yunara,1,1,1.0
bot,Varus,Jhin,1,0,0.0
bot,Vayne,KogMaw,1,1,1.0
bot,Vayne,Twitch,1,1,1.0
bot,Veigar,Kaisa,1,1,1.0
bot,Xayah,Brand,1,0,0.0
bot,Xayah,Jhin,1,0,0.0
bot,Xayah,Yunara,1,1,1.0
bot,Yunara,Jhin,1,0,0.0
bot,Zeri,Lucian,1,1,1.0
bot,Ziggs,Kaisa,1,0,0.0
jungle,Amumu,Talon,1,0,0.0
jungle,Belveth,Graves,1,1,1.0
jungle,Briar,Khazix,1,1,1.0
jungle,Diana,Briar,1,0,0.0
jungle,Diana,Karthus,1,1,1.0
jungle,Diana,LeeSin,1,0,0.0
jungle,Diana,Qiyana,1,0,0.0
jungle,Diana,Zyra,1,0,0.0
jungle,Ekko,Gragas,1,1,1.0
jungle,Graves,Ekko,1,1,1.0
jungle,Graves,Hecarim,1,1,1.0
jungle,Graves,LeeSin,1,1,1.0
jungle,Graves,Morgana,1,0,0.0
jungle,Graves,Viego,1,0,0.0
jungle,Jax,Graves,1,0,0.0
jungle,Kayn,XinZhao,1,1,1.0
jungle,Khazix,Sylas,1,0,0.0
jungle,LeeSin,DrMundo,1,0,0.0
jungle,LeeSin,Nidalee,1,1,1.0
jungle,LeeSin,Sylas,1,0,0.0
jungle,Lillia,Graves,1,1,1.0
jungle,MasterYi,Kayn,1,0,0.0
jungle,Morgana,XinZhao,1,1,1.0
jungle,Nocturne,Ekko,1,1,1.0
jungle,Nunu,Sylas,1,1,1.0
jungle,Rengar,Jax,1,1,1.0
jungle,Rengar,Qiyana,1,0,0.0
jungle,Sejuani,Khazix,1,1,1.0
jungle,Sejuani,Volibear,1,1,1.0
jungle,Shaco,Graves,1,1,1.0
jungle,Shaco,Rengar,1,1,1.0
jungle,Shyvana,Kayn,1,1,1.0
jungle,Sylas,Kayn,1,0,0.0
jungle,Sylas,Zed,1,0,0.0
jungle,Vi,Kindred,1,1,1.0
jungle,Volibear,Graves,1,0,0.0
jungle,Volibear,Nunu,1,1,1.0
jungle,Volibear,Shyvana,1,1,1.0
jungle,XinZhao,Belveth,1,0,0.0
jungle,Zed,Volibear,1,1,1.0
mid,Akali,Galio,1,1,1.0
mid,Akali,Syndra,1,1,1.0
mid,Akali,Viktor,1,0,0.0
mid,Akali,Vladimir,1,1,1.0
mid,Akali,Yasuo,1,0,0.0
mid,Akshan,Akali,1,0,0.0
mid,Anivia,Leblanc,1,1,1.0
mid,Aurora,Galio,1,0,0.0
mid,Aurora,Veigar,1,1,1.0
mid,Diana,Aurora,1,1,1.0
mid,Ezreal,Corki,1,1,1.0
mid,Galio,Sylas,1,1,1.0
mid,Leblanc,Aurora,1,1,1.0
mid,Malzahar,Smolder,1,0,0.0
mid,Mel,Ahri,1,1,1.0
mid,Mel,Hwei,1,0,0.0
mid,Mel,Yasuo,1,1,1.0
mid,Morgana,Akali,1,1,1.0
mid,Naafiri,Akali,1,1,1.0
mid,Orianna,Viktor,1,1,1.0
mid,Qiyana,Orianna,1,0,0.0
mid,Riven,Galio,1,1,1.0
mid,Shaco,Aurora,1,0,0.0
mid,Sylas,Ahri,1,1,1.0
mid,Sylas,Velkoz,1,0,0.0
mid,Syndra,Viktor,1,0,0.0
mid,Varus,Yasuo,1,0,0.0
mid,Veigar,Ryze,1,1,1.0
mid,Vex,Ekko,1,1,1.0
mid,Vex,Yasuo,1,1,1.0
mid,Viktor,Gangplank,1,0,0.0
mid,Viktor,Morgana,1,0,0.0
mid,Viktor,Yasuo,1,0,0.0
mid,Viktor,Zed,1,1,1.0
mid,Xerath,Akshan,1,0,0.0
mid,Xerath,Diana,1,1,1.0
mid,Yone,Akali,1,1,1.0
mid,Yone,Yasuo,1,0,0.0
mid,Zed,Galio,1,1,1.0
mid,Zed,Mel,1,0,0.0
sup,Amumu,Thresh,1,1,1.0
sup,Bard,Nautilus,1,1,1.0
sup,Bard,Neeko,1,1,1.0
sup,Blitzcrank,Milio,1,0,0.0
sup,Blitzcrank,Nami,1,0,0.0
sup,Braum,Leona,1,0,0.0
sup,Braum,Lulu,1,1,1.0
sup,Janna,Brand,1,1,1.0
sup,Janna,Rell,1,1,1.0
sup,Karma,Sylas,1,1,1.0
sup,Leblanc,Sylas,1,1,1.0
sup,Leona,Sona,1,1,1.0
sup,Lulu,Nami,1,1,1.0
sup,Lux,Senna,1,0,0.0
sup,Milio,Blitzcrank,1,1,1.0
sup,Milio,LeeSin,1,0,0.0
sup,Milio,Lulu,1,1,1.0
sup,Nami,Rakan,1,1,1.0
sup,Nami,Zyra,1,0,0.0
sup,Nautilus,Lux,1,1,1.0
sup,Nautilus,Pyke,1,0,0.0
sup,Pantheon,Alistar,1,0,0.0
sup,Pantheon,Milio,1,1,1.0
sup,Rakan,Nami,1,0,0.0
sup,Rakan,Shaco,1,1,1.0
sup,Renata,Leona,1,1,1.0
sup,Seraphine,Pyke,1,0,0.0
sup,Shaco,Janna,1,1,1.0
sup,Sion,Rell,1,1,1.0
sup,Soraka,Leona,1,0,0.0
sup,Soraka,Lux,1,1,1.0
sup,Swain,Blitzcrank,1,1,1.0
sup,Thresh,Brand,1,0,0.0
sup,Velkoz,Soraka,1,1,1.0
sup,Velkoz,Thresh,1,0,0.0
sup,Yuumi,Poppy,1,1,1.0
sup,Zilean,Neeko,1,0,0.0
sup,Zilean,Rell,1,0,0.0
sup,Zilean,Zyra,1,0,0.0
sup,Zyra,Thresh,1,0,0.0
top,Aatrox,Shen,1,0,0.0
top,Aatrox,Tryndamere,1,1,1.0
top,Akali,KSante,1,1,1.0
top,Ambessa,Gnar,1,0,0.0
top,Ambessa,KSante,1,1,1.0
top,Ambessa,Sett,1,0,0.0
top,Ambessa,Smolder,1,1,1.0
top,Camille,Swain,1,1,1.0
top,Garen,Darius,1,0,0.0
top,Garen,Fiora,1,0,0.0
top,Garen,Gnar,1,0,0.0
top,Garen,Jayce,1,1,1.0
top,Gwen,Nasus,1,0,0.0
top,Illaoi,Jax,1,0,0.0
top,Irelia,Yorick,1,1,1.0
top,Jax,KSante,1,0,0.0
top,Jax,Riven,1,1,1.0
top,Jax,Warwick,1,0,0.0
top,Jayce,Sion,1,0,0.0
top,KSante,Poppy,1,1,1.0
top,Kayle,Tryndamere,1,0,0.0
top,Malphite,Fiora,1,1,1.0
top,Mordekaiser,Garen,1,1,1.0
top,Nasus,Sett,1,1,1.0
top,Olaf,Mordekaiser,1,1,1.0
top,Ornn,DrMundo,1,0,0.0
top,Ornn,Jax,1,1,1.0
top,Ornn,Sion,1,1,1.0
top,Renekton,Malphite,1,0,0.0
top,Renekton,Mordekaiser,1,1,1.0
top,Riven,Ornn,1,0,0.0
top,Rumble,Aatrox,1,1,1.0
top,Rumble,KSante,1,1,1.0
top,Sion,Ambessa,1,1,1.0
top,Sion,Malphite,1,0,0.0
top,Urgot,Aatrox,1,1,1.0
top,Yone,Renekton,1,1,1.0
top,Yone,Riven,1,0,0.0
top,Yone,Volibear,1,1,1.0
top,Yorick,Jax,1,1,1.0
