participantId,teamId,win,summonerName,puuid,championName,champLevel,teamPosition,role,lane,kills,deaths,assists,totalMinionsKilled,neutralMinionsKilled,goldEarned,goldSpent,visionScore,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,magicDamageDealt,physicalDamageDealt,trueDamageDealt,damageDealtToObjectives,damageSelfMitigated,totalHeal,totalHealsOnTeammates,totalDamageTaken,totalTimeSpentDead,wardsPlaced,wardsKilled,item0,item1,item2,item3,item4,item5,item6,summoner1Id,summoner2Id,rune_1,rune_2,rune_3,rune_4,rune_5,rune_6,runes_primary_style,runes_secondary_style,perks_raw
1,100,True,,yQrfEduCfaVxIUW7JP4s2VJ3ccoyLsm5HCYS9mDmoTffPl5bga-f3RlG-K0DXAWrI6CfTWdGMGyqWg,Yorick,17,TOP,SOLO,TOP,3,4,5,239,8,12867,10483,21,8,173948,20795,23161,136235,14551,27790,20146,7677,0,23318,116,9,2,1036,1054,3035,3161,3078,3174,3340,12,4,8010,9111,9103,8299,8446,8473,8000,8400,"{""statPerks"": {""defense"": 5001, ""flex"": 5008, ""offense"": 5005}, ""styles"": [{""description"": ""primaryStyle"", ""selections"": [{""perk"": 8010, ""var1"": 550, ""var2"": 0, ""var3"": 0}, {""perk"": 9111, ""var1"": 1256, ""var2"": 160, ""var3"": 0}, {""perk"": 9103, ""var1"": 24, ""var2"": 50, ""var3"": 0}, {""perk"": 8299, ""var1"": 653, ""var2"": 0, ""var3"": 0}], ""style"": 8000}, {""description"": ""subStyle"", ""selections"": [{""perk"": 8446, ""var1"": 4324, ""var2"": 0, ""var3"": 0}, {""perk"": 8473, ""var1"": 1255, ""var2"": 0, ""var3"": 0}], ""style"": 8400}]}"
2,100,True,,qj5dKZAaZas4DJcZ00icHo-HqIZCTxsXlLHs9jS_rhuv6mPdWto6TawG7AFSk64GT8gZHm1PujqJpg,Briar,17,JUNGLE,NONE,JUNGLE,12,5,11,46,156,13616,11450,22,32,241309,25701,16718,184882,39708,23425,34480,33655,0,29938,138,1,6,6333,3153,3171,3071,1033,0,3364,4,11,8005,9111,9104,8014,8347,8304,8000,8300,"{""statPerks"": {""defense"": 5001, ""flex"": 5008, ""offense"": 5008}, ""styles"": [{""description"": ""primaryStyle"", ""selections"": [{""perk"": 8005, ""var1"": 2213, ""var2"": 2213, ""var3"": 0}, {""perk"": 9111, ""var1"": 1312, ""var2"": 460, ""var3"": 0}, {""perk"": 9104, ""var1"": 10, ""var2"": 20, ""var3"": 0}, {""perk"": 8014, ""var1"": 923, ""var2"": 0, ""var3"": 0}], ""style"": 8000}, {""description"": ""subStyle"", ""selections"": [{""perk"": 8347, ""var1"": 0, ""var2"": 0, ""var3"": 0}, {""perk"": 8304, ""var1"": 9, ""var2"": 0, ""var3"": 0}], ""style"": 8300}]}"
3,100,True,,5Lbm0Fpd514TOViJl3yliWYQLot_5S_f__KQY1ENkVzjolfPUFFJ03SWT70f-2t9Gg7-jqwAN369Nw,Vex,16,MIDDLE,SOLO,MIDDLE,12,4,10,168,4,12647,8975,10,36,151971,29963,137616,10723,3632,14349,9742,1597,0,14680,77,9,1,1056,6655,3020,2031,4645,1058,3363,14,4,8112,8139,8140,8106,8226,8210,8100,8200,"{""statPerks"": {""defense"": 5011, ""flex"": 5008, ""offense"": 5005}, ""styles"": [{""description"": ""primaryStyle"", ""selections"": [{""perk"": 8112, ""var1"": 1791, ""var2"": 0, ""var3"": 0}, {""perk"": 8139, ""var1"": 922, ""var2"": 0, ""var3"": 0}, {""perk"": 8140, ""var1"": 18, ""var2"": 0, ""var3"": 0}, {""perk"": 8106, ""var1"": 5, ""var2"": 31, ""var3"": 0}], ""style"": 8100}, {""description"": ""subStyle"", ""selections"": [{""perk"": 8226, ""var1"": 250, ""var2"": 1115, ""var3"": 0}, {""perk"": 8210, ""var1"": 25, ""var2"": 0, ""var3"": 0}], ""style"": 8200}]}"
4,100,True,,obuPp8DJ2dxbFiLGFvtGIheDfRD9ZTuXRDEEHTKtwfbwI7HlM6oXBMZOJRgsb5qnIQqRqBc0Vei3hQ,Kaisa,14,BOTTOM,CARRY,BOTTOM,8,2,8,205,8,12445,10250,9,1,139272,22907,27924,110560,787,20761,9868,3713,0,14841,42,4,3,1055,3006,6672,3124,3115,0,3363,4,21,8008,9111,9104,8017,8304,8345,8000,8300,"{""statPerks"": {""defense"": 5011, ""flex"": 5008, ""offense"": 5005}, ""styles"": [{""description"": ""primaryStyle"", ""selections"": [{""perk"": 8008, ""var1"": 536, ""var2"": 536, ""var3"": 0}, {""perk"": 9111, ""var1"": 935, ""var2"": 320, ""var3"": 0}, {""perk"": 9104, ""var1"": 14, ""var2"": 20, ""var3"": 0}, {""perk"": 8017, ""var1"": 937, ""var2"": 0, ""var3"": 0}], ""style"": 8000}, {""description"": ""subStyle"", ""selections"": [{""perk"": 8304, ""var1"": 10, ""var2"": 3, ""var3"": 0}, {""perk"": 8345, ""var1"": 3, ""var2"": 0, ""var3"": 222}], ""style"": 8300}]}"
5,100,True,,tA83FBYSAiE-GMoJAk0tuHiZKAY_xELJGw25WRBsUtGzdyBXwz6R5pjX_Yn4oSAg6nVlh9aASyJKUQ,Janna,14,UTILITY,SUPPORT,BOTTOM,1,2,20,18,0,7248,5900,53,41,16794,5883,11076,3715,2002,1315,6098,8526,5644,13115,48,25,4,3870,3158,6617,3222,2055,0,3364,3,4,8351,8304,8345,8347,8463,8453,8300,8400,"{""statPerks"": {""defense"": 5011, ""flex"": 5010, ""offense"": 5007}, ""styles"": [{""description"": ""primaryStyle"", ""selections"": [{""perk"": 8351, ""var1"": 63, ""var2"": 1498, ""var3"": 0}, {""perk"": 8304, ""var1"": 9, ""var2"": 4, ""var3"": 5}, {""perk"": 8345, ""var1"": 3, ""var2"": 0, ""var3"": 209}, {""perk"": 8347, ""var1"": 0, ""var2"": 0, ""var3"": 0}], ""style"": 8300}, {""description"": ""subStyle"", ""selections"": [{""perk"": 8463, ""var1"": 862, ""var2"": 0, ""var3"": 0}, {""perk"": 8453, ""var1"": 691, ""var2"": 447, ""var3"": 0}], ""style"": 8400}]}"
6,200,False,,BXfHmSz7o-TXVOy1-D26SOlWn4_UUTASdLIO5g7jWBEi7DdWLI6J9BbLUFklftlExEj8UmT2lsndOQ,Jax,15,TOP,SOLO,TOP,2,3,2,191,8,9673,9433,17,12,150309,12945,52023,93052,5233,3291,19811,3465,0,27786,118,12,0,1029,3078,6610,3047,1052,1052,3340,4,12,8437,8446,8444,8242,8345,8347,8400,8300,"{""statPerks"": {""defense"": 5001, ""flex"": 5008, ""offense"": 5005}, ""styles"": [{""description"": ""primaryStyle"", ""selections"": [{""perk"": 8437, ""var1"": 708, ""var2"": 429, ""var3"": 0}, {""perk"": 8446, ""var1"": 1221, ""var2"": 0, ""var3"": 0}, {""perk"": 8444, ""var1"": 1355, ""var2"": 0, ""var3"": 0}, {""perk"": 8242, ""var1"": 94, ""var2"": 0, ""var3"": 0}], ""style"": 8400}, {""description"": ""subStyle"", ""selections"": [{""perk"": 8345, ""var1"": 3, ""var2"": 0, ""var3"": 219}, {""perk"": 8347, ""var1"": 0, ""var2"": 0, ""var3"": 0}], ""style"": 8300}]}"
7,200,False,,QzlvuVhPGQ-qHeLtgmtj2kwWTAzQxmAi76R-64w9nFalLdCMkC6XN-DBe4re-ZocLGHa_M-Oj2hBUA,Khazix,14,JUNGLE,NONE,JUNGLE,9,6,4,43,130,12333,11600,23,12,200354,15792,644,155296,44412,8172,14805,13204,0,30563,169,4,2,6698,3814,3035,6696,0,3158,3364,4,11,8128,8143,8140,8135,8014,9111,8100,8000,"{""statPerks"": {""defense"": 5001, ""flex"": 5008, ""offense"": 5008}, ""styles"": [{""description"": ""primaryStyle"", ""selections"": [{""perk"": 8128, ""var1"": 916, ""var2"": 13, ""var3"": 0}, {""perk"": 8143, ""var1"": 741, ""var2"": 0, ""var3"": 0}, {""perk"": 8140, ""var1"": 13, ""var2"": 0, ""var3"": 0}, {""perk"": 8135, ""var1"": 450, ""var2"": 5, ""var3"": 0}], ""style"": 8100}, {""description"": ""subStyle"", ""selections"": [{""perk"": 8014, ""var1"": 468, ""var2"": 0, ""var3"": 0}, {""perk"": 9111, ""var1"": 583, ""var2"": 260, ""var3"": 0}], ""style"": 8000}]}"
8,200,False,,ZNFQ7Y1w84bI-Y4VqKfUMpmAFWUpOvgormKVlU34ytQg5BQBq-ef5i1CjJjfcw_5ohpaZXRaNaNErg,Ekko,14,MIDDLE,SOLO,MIDDLE,2,11,6,169,0,9063,8925,11,16,110169,14684,94176,10257,5735,842,14411,4123,0,29430,282,8,1,3100,1028,3152,3020,3916,1082,3363,14,4,8128,8143,8140,8105,8233,8237,8100,8200,"{""statPerks"": {""defense"": 5001, ""flex"": 5008, ""offense"": 5008}, ""styles"": [{""description"": ""primaryStyle"", ""selections"": [{""perk"": 8128, ""var1"": 502, ""var2"": 9, ""var3"": 0}, {""perk"": 8143, ""var1"": 902, ""var2"": 0, ""var3"": 0}, {""perk"": 8140, ""var1"": 8, ""var2"": 0, ""var3"": 0}, {""perk"": 8105, ""var1"": 32, ""var2"": 4, ""var3"": 0}], ""style"": 8100}, {""description"": ""subStyle"", ""selections"": [{""perk"": 8233, ""var1"": 13, ""var2"": 50, ""var3"": 0}, {""perk"": 8237, ""var1"": 357, ""var2"": 0, ""var3"": 0}], ""style"": 8200}]}"
9,200,False,,boS93q7poe_470EQu-XKqHbOHtD9vWN-1GxZTFRm30VmytfwneJHYgHRdEaDGe07ixBdh4bcnJGBiw,Samira,12,BOTTOM,CARRY,BOTTOM,4,8,1,195,0,10609,10000,3,0,113947,15719,12944,99656,1346,2902,10618,4016,0,20953,208,1,1,1055,6676,3047,3031,3035,1036,3340,4,21,8010,9111,9103,8299,8143,8135,8000,8100,"{""statPerks"": {""defense"": 5001, ""flex"": 5008, ""offense"": 5005}, ""styles"": [{""description"": ""primaryStyle"", ""selections"": [{""perk"": 8010, ""var1"": 204, ""var2"": 0, ""var3"": 0}, {""perk"": 9111, ""var1"": 285, ""var2"": 100, ""var3"": 0}, {""perk"": 9103, ""var1"": 0, ""var2"": 0, ""var3"": 0}, {""perk"": 8299, ""var1"": 675, ""var2"": 0, ""var3"": 0}], ""style"": 8000}, {""description"": ""subStyle"", ""selections"": [{""perk"": 8143, ""var1"": 545, ""var2"": 0, ""var3"": 0}, {""perk"": 8135, ""var1"": 320, ""var2"": 4, ""var3"": 0}], ""style"": 8100}]}"
10,200,False,,3JdpYnVEPONwfpSGww2aYsZUjPw3ivsE2MfHJ8DuQ6WWYawG92XzWtwXC0Fnpk1VDHiNZQVI6T8png,Rell,11,UTILITY,SUPPORT,BOTTOM,0,8,5,27,0,5748,5025,38,43,17478,5517,9704,3361,4412,761,20396,824,211,20577,189,17,5,3869,3050,2055,1031,2022,3158,3364,4,14,8351,8306,8345,8347,8463,8473,8300,8400,"{""statPerks"": {""defense"": 5001, ""flex"": 5001, ""offense"": 5007}, ""styles"": [{""description"": ""primaryStyle"", ""selections"": [{""perk"": 8351, ""var1"": 84, ""var2"": 1146, ""var3"": 0}, {""perk"": 8306, ""var1"": 4, ""var2"": 0, ""var3"": 0}, {""perk"": 8345, ""var1"": 3, ""var2"": 0, ""var3"": 155}, {""perk"": 8347, ""var1"": 0, ""var2"": 0, ""var3"": 0}], ""style"": 8300}, {""description"": ""subStyle"", ""selections"": [{""perk"": 8463, ""var1"": 668, ""var2"": 0, ""var3"": 0}, {""perk"": 8473, ""var1"": 454, ""var2"": 0, ""var3"": 0}], ""style"": 8400}]}"
