matchId,teamId,role,teamWin,championName,kills,deaths,assists,kda_ratio,opponentChampion
EUW1_7728477162,200,mid,True,Lissandra,8,3,7,5.0,Ahri
EUW1_7728467595,100,top,False,Olaf,1,4,6,1.75,Pantheon
EUW1_7727257029,100,jungle,True,Teemo,6,5,11,3.4,Viego
EUW1_7727211283,200,jungle,False,LeeSin,8,13,5,1.0,Rengar
EUW1_7727185040,200,jungle,True,Ivern,0,3,20,6.667,Gragas
EUW1_7727157601,100,jungle,False,Shyvana,6,5,3,1.8,Hecarim
EUW1_7727120606,200,jungle,False,Nidalee,13,7,10,3.286,Elise
EUW1_7727091168,100,jungle,False,Brand,3,6,2,0.833,Hecarim
EUW1_7727064117,200,jungle,False,Elise,10,6,12,3.667,JarvanIV
EUW1_7727047539,100,jungle,False,Teemo,2,6,3,0.833,FiddleSticks
EUW1_7727025486,100,jungle,False,Trundle,6,2,10,8.0,DrMundo
EUW1_7726999285,200,jungle,False,Belveth,2,7,4,0.857,JarvanIV
EUW1_7726988129,200,jungle,False,Khazix,3,7,1,0.571,Diana
EUW1_7726965448,100,jungle,False,Morgana,9,3,11,6.667,Elise
EUW1_7726954074,100,jungle,False,LeeSin,10,6,4,2.333,Udyr
EUW1_7725830759,100,jungle,True,Elise,20,5,7,5.4,Viego
EUW1_7725782416,100,jungle,True,Morgana,5,3,6,3.667,Pantheon
EUW1_7725739284,200,jungle,False,Morgana,10,3,7,5.667,Aatrox
EUW1_7725720567,200,mid,False,Lissandra,0,2,0,0.0,Ryze
EUW1_7725678836,100,jungle,False,Elise,5,5,8,2.6,Shen
EUW1_7725643774,100,jungle,False,Teemo,7,7,2,1.286,JarvanIV
EUW1_7725614059,200,sup,True,Elise,8,0,8,16.0,Nautilus
EUW1_7725570388,200,jungle,True,LeeSin,10,2,7,8.5,Ambessa
EUW1_7725541268,100,jungle,False,Kindred,2,5,5,1.4,Vi
EUW1_7725509274,100,jungle,False,Teemo,5,2,5,5.0,Ambessa
EUW1_7725490297,100,jungle,False,Teemo,0,5,2,0.4,Qiyana
EUW1_7725479774,100,jungle,True,Teemo,8,0,5,13.0,Ambessa
EUW1_7725447600,100,jungle,True,Teemo,11,3,11,7.333,Volibear
EUW1_7725419015,100,jungle,False,Teemo,4,7,9,1.857,Ambessa
EUW1_7725410614,200,jungle,False,Teemo,1,5,0,0.2,Zed
EUW1_7725396731,100,jungle,True,Kindred,3,2,6,4.5,Talon
EUW1_7725373339,200,jungle,True,Teemo,2,5,12,2.8,Taliyah
EUW1_7724111208,200,jungle,False,Elise,6,9,10,1.778,Ambessa
EUW1_7724064745,200,jungle,False,LeeSin,9,8,10,2.375,Nidalee
EUW1_7724019070,200,jungle,False,Teemo,3,6,4,1.167,Talon
EUW1_7723974937,100,jungle,False,Teemo,6,6,19,4.167,LeeSin
EUW1_7723934203,200,jungle,True,Teemo,11,8,3,1.75,Nocturne
EUW1_7723911643,200,jungle,True,Teemo,2,2,6,4.0,Aatrox
EUW1_7723886101,100,jungle,False,Teemo,0,6,2,0.333,Jayce
EUW1_7723857444,200,jungle,True,Teemo,6,2,10,8.0,Jayce
EUW1_7723834127,200,top,True,Vayne,7,9,3,1.111,Viego
EUW1_7723805135,200,jungle,True,Teemo,4,8,7,1.375,Chogath
EUW1_7723787275,200,jungle,True,Teemo,8,8,13,2.625,Talon
EUW1_7723773889,200,jungle,False,Elise,7,8,5,1.5,Hecarim
EUW1_7723757090,100,top,True,Teemo,3,8,10,1.625,Pantheon
EUW1_7719271838,100,mid,False,Lissandra,3,5,6,1.8,Sylas
EUW1_7719220032,100,jungle,True,Udyr,8,0,4,12.0,Qiyana
EUW1_7719164286,200,jungle,True,Khazix,6,6,9,2.5,Naafiri
EUW1_7719116007,200,jungle,False,Morgana,3,5,7,2.0,Zac
EUW1_7719071441,200,sup,True,Elise,1,4,9,2.5,TahmKench
