matchId,teamId,role,teamWin,championName,kills,deaths,assists,kda_ratio,opponentChampion
EUW1_7728740444,100,bot,True,Swain,1,3,6,2.333,Caitlyn
EUW1_7728711465,200,mid,False,Ahri,5,8,8,1.625,Katarina
EUW1_7725778947,200,bot,True,Swain,8,1,15,23.0,Kaisa
EUW1_7725714431,200,bot,True,Caitlyn,9,8,14,2.875,Yunara
EUW1_7725675207,100,bot,False,Ezreal,4,6,2,1.0,Caitlyn
EUW1_7725629130,100,bot,False,Kaisa,0,10,5,0.5,Yunara
EUW1_7725557379,200,bot,True,Kaisa,19,11,13,2.909,Corki
EUW1_7725533401,100,bot,True,Kaisa,5,6,7,2.0,Smolder
EUW1_7725512757,200,bot,False,Jinx,3,9,3,0.667,Fiora
EUW1_7725476309,200,bot,True,Kaisa,8,1,12,20.0,Yunara
EUW1_7725452624,100,bot,True,Kaisa,23,6,9,5.333,Twitch
EUW1_7725427292,200,bot,False,Corki,0,6,6,1.0,Jhin
EUW1_7725412683,100,bot,True,Corki,12,7,10,3.143,Kaisa
EUW1_7724349886,200,mid,False,Ezreal,6,8,5,1.375,Ahri
EUW1_7724294215,200,bot,False,Jhin,2,9,7,1.0,Karthus
EUW1_7724233430,100,sup,True,Nautilus,0,7,29,4.143,Karma
EUW1_7724195010,100,bot,True,Jhin,9,0,4,13.0,Varus
EUW1_7724148162,100,sup,True,Nautilus,4,7,15,2.714,Neeko
EUW1_7724102490,200,sup,False,Blitzcrank,3,10,4,0.7,Bard
EUW1_7724049718,100,sup,True,Blitzcrank,2,6,19,3.5,Nautilus
EUW1_7724005314,100,bot,False,Ezreal,4,8,4,1.0,Sivir
EUW1_7723961562,100,bot,True,Corki,9,13,14,1.769,Yunara
EUW1_7723921436,200,sup,True,Bard,2,6,16,3.0,Pyke
EUW1_7723897804,200,bot,False,Corki,0,9,4,0.444,Kaisa
EUW1_7723860237,200,bot,False,Kaisa,13,10,5,1.8,Corki
EUW1_7723843775,100,bot,False,Vayne,5,8,1,0.75,Sivir
EUW1_7723818312,200,bot,False,Kaisa,5,8,1,0.75,Xayah
EUW1_7723807208,100,top,True,Kaisa,5,2,1,3.0,Malphite
EUW1_7722333914,200,bot,True,Corki,9,4,6,3.75,Aphelios
EUW1_7722181938,200,bot,False,Yunara,5,7,4,1.286,Kaisa
EUW1_7722117419,200,mid,True,Ahri,3,2,8,5.5,Kassadin
EUW1_7722086945,200,bot,False,Jhin,9,8,3,1.5,Veigar
EUW1_7720548014,100,bot,False,Kaisa,2,10,5,0.7,Vayne
EUW1_7720410419,100,bot,True,Kaisa,14,5,8,4.4,Jinx
EUW1_7719432561,200,bot,False,Corki,2,7,5,1.0,Ezreal
EUW1_7719374363,100,bot,False,Ezreal,0,9,4,0.444,Kaisa
EUW1_7719343249,200,bot,False,Jinx,3,7,0,0.429,Yunara
EUW1_7718804196,200,bot,False,Ezreal,14,5,8,4.4,Kaisa
EUW1_7718087537,100,bot,False,Yunara,7,12,11,1.5,Kaisa
EUW1_7718011055,100,bot,False,Ezreal,11,7,3,2.0,Varus
EUW1_7717972886,200,bot,True,Ezreal,14,1,1,15.0,Kaisa
EUW1_7717900914,200,bot,True,Ezreal,14,6,13,4.5,Jinx
EUW1_7717843033,100,bot,True,Ezreal,11,4,4,3.75,Vayne
EUW1_7716206924,200,bot,True,Ezreal,11,6,8,3.167,Kaisa
EUW1_7716041643,200,bot,True,Ezreal,24,11,10,3.091,Ashe
EUW1_7715985405,200,bot,True,Ezreal,15,5,11,5.2,Sivir
EUW1_7715955537,200,bot,True,Yunara,4,8,10,1.75,Lucian
EUW1_7715909533,100,bot,True,Kaisa,3,8,9,1.5,Yunara
EUW1_7715859982,200,bot,True,Corki,9,9,6,1.667,Ashe
EUW1_7715776739,200,bot,True,Caitlyn,9,4,6,3.75,Ezreal
