matchId,teamId,role,teamWin,championName,kills,deaths,assists,kda_ratio,opponentChampion
EUW1_7636329036,100,top,True,Yone,14,4,7,5.25,Volibear
EUW1_7636250019,200,top,True,Zaahen,3,5,15,3.6,KSante
EUW1_7635722248,200,top,True,Aatrox,3,6,9,2.0,Darius
EUW1_7633435893,200,top,True,Ambessa,20,8,12,4.0,JarvanIV
EUW1_7633334527,100,top,False,Zaahen,5,12,12,1.417,Teemo
EUW1_7633234168,100,top,True,Zaahen,12,5,10,4.4,Gwen
EUW1_7633068503,100,top,True,Aatrox,5,4,9,3.5,Kayle
EUW1_7628436613,200,top,True,Aatrox,5,0,4,9.0,Renekton
EUW1_7626976332,100,top,False,KSante,3,6,0,0.5,Gwen
EUW1_7626936836,100,top,False,Jax,0,0,0,0.0,Garen
EUW1_7626846153,100,top,True,Aatrox,9,1,7,16.0,Darius
EUW1_7626757042,100,top,False,Aatrox,3,3,10,4.333,Singed
EUW1_7626685993,100,top,False,Zaahen,0,11,3,0.273,Warwick
EUW1_7626527021,200,top,True,Mordekaiser,6,6,3,1.5,Ambessa
EUW1_7625616581,200,top,False,Aatrox,6,7,1,1.0,Darius
EUW1_7625564981,200,top,False,Sett,3,10,4,0.7,TahmKench
EUW1_7625504134,100,mid,True,Malphite,4,3,17,7.0,Zed
EUW1_7625449037,100,top,True,Aatrox,13,3,5,6.0,Mordekaiser
EUW1_7625393558,200,top,False,Jax,2,4,2,1.0,Zaahen
EUW1_7625310269,100,top,True,Jax,11,3,2,4.333,Zaahen
EUW1_7625206923,100,top,True,Zaahen,10,4,4,3.5,Malphite
EUW1_7625121830,200,top,True,Aatrox,4,4,8,3.0,Ambessa
EUW1_7624880686,100,top,False,MonkeyKing,1,1,2,3.0,Jayce
EUW1_7624854503,200,top,False,Zaahen,3,4,11,3.5,Yorick
EUW1_7624820240,200,top,True,Malphite,2,2,22,12.0,Akshan
EUW1_7623264315,200,top,True,KSante,5,3,14,6.333,Irelia
EUW1_7623202057,200,top,True,Zaahen,7,9,5,1.333,Tryndamere
EUW1_7623139692,200,top,True,Aatrox,11,3,6,5.667,Riven
EUW1_7616562042,100,top,True,Zaahen,5,8,11,2.0,Kayle
EUW1_7616478494,100,top,False,Ambessa,14,9,9,2.556,DrMundo
EUW1_7615368607,100,top,True,Kayle,4,5,9,2.6,Warwick
EUW1_7615299971,100,top,True,Smolder,7,11,12,1.727,Chogath
EUW1_7608605930,200,top,True,KSante,9,4,20,7.25,Sion
EUW1_7600555962,200,top,True,Mordekaiser,11,3,3,4.667,Volibear
EUW1_7600490302,100,top,True,Mordekaiser,10,1,4,14.0,Camille
EUW1_7599496208,100,sup,True,Bard,1,5,14,3.0,Seraphine
EUW1_7599407885,100,top,False,Aatrox,8,4,1,2.25,Gnar
EUW1_7599344396,200,top,False,Aatrox,2,8,1,0.375,Jax
EUW1_7599336608,100,top,True,Aatrox,0,0,0,0.0,Renekton
EUW1_7594661034,100,top,False,Aatrox,0,1,1,1.0,Riven
EUW1_7593661827,100,top,True,Mordekaiser,6,3,7,4.333,Cassiopeia
EUW1_7593619685,100,top,True,Aatrox,13,0,7,20.0,Fiora
EUW1_7579992450,200,top,True,Aatrox,3,6,7,1.667,KSante
EUW1_7579907182,200,top,False,Gnar,5,9,9,1.556,Aatrox
EUW1_7579847883,200,top,False,DrMundo,4,4,0,1.0,Mordekaiser
EUW1_7579793909,100,top,False,Sion,6,8,1,0.875,DrMundo
EUW1_7578529332,100,top,False,Renekton,4,12,9,1.083,Sion
EUW1_7578477356,100,top,True,Aatrox,3,1,11,14.0,Yasuo
EUW1_7574299354,200,top,False,Malphite,4,2,10,7.0,DrMundo
EUW1_7574239097,200,top,True,Sion,7,2,5,6.0,Kaisa
EUW1_7574175861,200,top,True,Aatrox,12,5,7,3.8,FiddleSticks
EUW1_7574104411,200,top,True,Sett,4,6,11,2.5,Sion
EUW1_7574066990,200,top,True,Aatrox,4,3,3,2.333,Ambessa
EUW1_7573986699,100,top,True,Aatrox,9,4,2,2.75,Mordekaiser
EUW1_7567351773,200,top,False,Jax,2,5,0,0.4,Garen
EUW1_7567288022,200,top,False,KSante,3,5,4,1.4,Garen
EUW1_7564963554,200,top,False,Gnar,3,4,0,0.75,Aatrox
EUW1_7564915829,200,top,True,Mordekaiser,6,0,5,11.0,Yorick
EUW1_7564845882,100,top,False,KSante,4,5,7,2.2,Shen
EUW1_7564766217,100,top,True,Aatrox,7,5,5,2.4,Nasus
EUW1_7561276147,100,top,True,Jax,7,3,16,7.667,Olaf
EUW1_7561229879,100,top,True,Aatrox,9,4,5,3.5,Jax
EUW1_7561157663,200,top,False,Gnar,9,7,10,2.714,Garen
EUW1_7561079850,200,top,True,KSante,4,4,12,4.0,Shen
EUW1_7556283221,100,top,False,Ornn,8,7,11,2.714,DrMundo
EUW1_7556246601,200,mid,False,Aurora,2,8,6,1.0,Leblanc
EUW1_7556194766,200,sup,True,Alistar,5,8,26,3.875,Pantheon
EUW1_7556122872,200,top,False,Jax,5,4,3,2.0,Ornn
EUW1_7556050908,100,top,False,Jayce,6,6,2,1.333,Sion
EUW1_7555978458,200,top,False,Aatrox,4,6,7,1.833,Rumble
EUW1_7555910182,200,top,False,Jayce,4,7,5,1.286,Garen
EUW1_7555851866,100,top,False,Ambessa,4,7,1,0.714,Gnar
EUW1_7552975712,200,top,True,Aatrox,11,2,8,9.5,Shen
EUW1_7552894220,200,top,False,Jayce,12,6,4,2.667,Gwen
EUW1_7547062211,200,top,False,KSante,0,4,0,0.0,Akali
EUW1_7546965002,200,top,False,Ambessa,5,7,3,1.143,Sion
EUW1_7546852473,200,top,True,Gnar,4,5,9,2.6,Garen
EUW1_7546807347,100,top,True,KSante,0,0,0,0.0,Poppy
EUW1_7536708689,200,mid,True,Yasuo,5,4,11,4.0,Viktor
EUW1_7536659338,100,top,True,Ambessa,4,7,11,2.143,Smolder
EUW1_7536636950,200,bot,False,Jhin,3,6,0,0.5,Caitlyn
EUW1_7536601490,100,top,True,Ambessa,6,1,2,8.0,KSante
EUW1_7536556408,100,top,True,Aatrox,4,2,4,4.0,Tryndamere
EUW1_7536505270,200,top,False,Yorick,1,5,0,0.2,Irelia
EUW1_7536465716,200,top,False,Mordekaiser,4,6,0,0.667,Olaf
EUW1_7348764326,200,mid,False,Galio,2,6,6,1.333,Kassadin
EUW1_7346005009,200,top,False,Aatrox,5,6,3,1.333,Chogath
EUW1_7345953949,100,top,True,Aatrox,11,0,4,15.0,Sett
EUW1_7342878055,200,top,True,Sett,7,1,6,13.0,Malphite
EUW1_7342845943,200,top,False,Gragas,1,8,2,0.375,Garen
EUW1_7342733713,100,top,True,Aatrox,1,0,0,1.0,
EUW1_7342668384,200,top,False,Aatrox,11,7,4,2.143,Urgot
EUW1_7341741885,100,top,True,Aatrox,2,3,11,4.333,Rumble
EUW1_7340909530,200,top,False,Aatrox,5,7,7,1.714,Yone
EUW1_7340845177,100,top,True,Aatrox,9,2,6,7.5,Malzahar
EUW1_7340746112,100,top,True,Aatrox,8,6,11,3.167,Anivia
EUW1_7340705659,100,top,True,Aatrox,13,3,1,4.667,Mordekaiser
EUW1_7340661316,100,top,False,Aatrox,5,7,2,1.0,Heimerdinger
EUW1_7337881427,100,mid,False,Sylas,2,7,5,1.0,Anivia
EUW1_7337840772,200,mid,False,Mel,7,9,2,1.0,Xerath
