matchId,teamId,role,teamWin,championName,kills,deaths,assists,kda_ratio,opponentChampion
EUW1_7633435893,200,sup,True,Lulu,1,10,20,2.1,Swain
EUW1_7625616581,200,sup,False,Neeko,5,9,7,1.333,Rell
EUW1_7625564981,200,sup,False,Swain,1,8,12,1.625,Soraka
EUW1_7625504134,100,sup,True,Karma,3,6,23,4.333,Nautilus
EUW1_7625449037,100,sup,True,Bard,1,7,17,2.571,Pantheon
EUW1_7625393558,200,sup,False,Lux,2,11,6,0.727,Morgana
EUW1_7624880686,100,sup,False,Leona,1,7,7,1.143,Nautilus
EUW1_7624854503,200,jungle,False,Volibear,1,8,10,1.375,Sejuani
EUW1_7624820240,200,sup,True,Leona,8,8,24,4.0,MonkeyKing
EUW1_7579992450,200,sup,True,Bard,4,6,10,2.333,Lulu
EUW1_7579907182,200,bot,False,Ashe,5,11,15,1.818,Draven
EUW1_7579847883,200,mid,False,Xerath,2,3,4,2.0,Akali
EUW1_7579793909,100,sup,False,Milio,1,6,7,1.333,Nautilus
EUW1_7574299354,200,sup,False,Pantheon,5,8,10,1.875,Karma
EUW1_7574239097,200,bot,True,Ezreal,10,2,12,11.0,Tryndamere
EUW1_7574175861,200,bot,True,Ezreal,16,0,6,22.0,Ashe
EUW1_7567351773,200,bot,False,Ashe,2,6,3,0.833,Lucian
EUW1_7567288022,200,sup,False,Nami,0,7,7,1.0,Seraphine
EUW1_7564963554,200,mid,False,Malphite,2,9,1,0.333,Morgana
EUW1_7564915829,200,bot,True,Ashe,6,4,17,5.75,Lucian
EUW1_7564845882,100,bot,False,Ashe,1,6,9,1.667,MissFortune
EUW1_7564766217,100,mid,True,Xerath,1,5,10,2.2,Syndra
EUW1_7561276147,100,mid,True,Xerath,4,4,15,4.75,Galio
EUW1_7561229879,100,mid,True,Ahri,4,0,15,19.0,Lissandra
EUW1_7561157663,200,mid,False,Malphite,8,8,13,2.625,AurelionSol
EUW1_7561079850,200,mid,True,Xerath,7,7,10,2.429,Sylas
EUW1_7556283221,100,bot,False,Jhin,7,12,9,1.333,TahmKench
EUW1_7556246601,200,bot,False,Twitch,3,9,6,1.0,Vayne
EUW1_7556194766,200,top,True,Malphite,8,3,15,7.667,Sion
EUW1_7556122872,200,bot,False,Ashe,6,11,4,0.909,Smolder
EUW1_7556050908,100,mid,False,Xerath,3,5,5,1.6,Akshan
EUW1_7555978458,200,mid,False,Aurora,10,12,7,1.417,Diana
EUW1_7555910182,200,bot,False,Caitlyn,4,6,3,1.167,Ashe
EUW1_7552975712,200,mid,True,Malphite,6,5,13,3.8,KSante
EUW1_7552894220,200,mid,False,Malphite,2,9,8,1.111,Sylas
EUW1_7536708689,200,top,True,Malphite,4,7,14,2.571,Renekton
EUW1_7536659338,100,sup,True,Bard,2,7,25,3.857,Neeko
EUW1_7536636950,200,sup,False,Lux,1,6,2,0.5,Nautilus
EUW1_7536601490,100,bot,True,Ashe,5,5,7,2.4,Kaisa
EUW1_7398772632,200,sup,True,Nautilus,5,10,25,3.0,Zyra
EUW1_7398721741,200,mid,False,Malzahar,2,13,7,0.692,Syndra
EUW1_7398677268,100,mid,False,Lux,3,5,6,1.8,Hwei
EUW1_7398636396,100,mid,True,Malphite,2,4,7,2.25,Kassadin
EUW1_7398576221,200,mid,True,Xerath,3,3,8,3.667,Akali
EUW1_7394562256,100,mid,True,Lux,15,13,9,1.846,Syndra
EUW1_7372379711,100,jungle,False,FiddleSticks,4,10,14,1.8,MasterYi
EUW1_7372337623,100,top,True,Volibear,5,4,4,2.25,Olaf
EUW1_7372269321,200,bot,False,Ezreal,6,8,5,1.375,Mel
EUW1_7346005009,200,bot,False,Ezreal,9,8,7,2.0,Zeri
EUW1_7345953949,100,bot,True,Caitlyn,2,3,3,1.667,Ashe
EUW1_7342668384,200,mid,False,Xerath,4,9,9,1.444,Zoe
EUW1_7341741885,100,sup,True,Mel,5,5,11,3.2,Nautilus
EUW1_7337881427,100,bot,False,Caitlyn,4,9,2,0.667,Corki
EUW1_7337840772,200,top,False,Darius,4,10,2,0.6,Jayce
EUW1_7337785353,100,mid,False,Lissandra,3,11,9,1.091,Mel
EUW1_7333865656,200,bot,True,Caitlyn,8,5,6,2.8,Jinx
EUW1_7333823758,200,top,True,Volibear,2,5,11,2.6,Yasuo
EUW1_7333771829,200,sup,False,Alistar,1,9,10,1.222,Thresh
EUW1_7333676986,100,jungle,False,Volibear,6,5,8,2.8,Kayn
EUW1_7332927201,100,mid,True,Lissandra,4,4,20,6.0,Veigar
EUW1_7332874443,100,sup,False,Lux,2,13,19,1.615,Yuumi
EUW1_7332821810,200,bot,True,Ezreal,4,7,5,1.286,Kaisa
EUW1_7332761002,200,sup,True,Pyke,8,6,9,2.833,Zyra
EUW1_7332713382,100,sup,False,Pantheon,0,10,4,0.4,Thresh
EUW1_7255176876,200,mid,False,Malphite,1,10,6,0.7,Swain
EUW1_7255094793,200,bot,True,Ezreal,14,5,8,4.4,Twitch
EUW1_7255013383,200,bot,True,Tristana,8,8,4,1.5,MissFortune
EUW1_7254543591,200,bot,False,Ezreal,5,5,6,2.2,Swain
EUW1_7220406120,200,sup,True,Lux,4,7,11,2.143,Thresh
EUW1_7220323275,200,sup,True,Lulu,0,3,14,4.667,Sona
EUW1_7169724942,100,sup,True,Blitzcrank,0,6,21,3.5,Bard
EUW1_7169680070,100,sup,True,Morgana,2,5,18,4.0,Blitzcrank
EUW1_7169644003,100,sup,True,Blitzcrank,2,8,6,1.0,Nami
EUW1_7169580166,200,bot,False,Ezreal,6,2,7,6.5,Kaisa
