matchId,teamId,role,teamWin,championName,kills,deaths,assists,kda_ratio,opponentChampion
EUW1_7625564981,200,mid,False,Akali,10,5,3,2.6,Naafiri
EUW1_7625504134,100,top,True,Sylas,16,3,13,9.667,Mordekaiser
EUW1_7625449037,100,mid,True,Sylas,4,4,8,3.0,Viego
EUW1_7625393558,200,mid,False,Syndra,3,6,3,1.0,Mel
EUW1_7625310269,100,mid,True,Akali,5,1,5,10.0,Lulu
EUW1_7616562042,100,mid,True,Sylas,10,5,13,4.6,Ahri
EUW1_7616478494,100,mid,False,Sylas,11,9,15,2.889,Lissandra
EUW1_7615368607,100,mid,True,Ahri,5,4,6,2.75,Mel
EUW1_7615299971,100,mid,True,Sylas,8,5,15,4.6,Mel
EUW1_7608605930,200,bot,True,Xayah,9,4,14,5.75,Sivir
EUW1_7608539763,100,mid,False,Akali,7,4,2,2.25,Leblanc
EUW1_7608487352,100,mid,True,Akali,6,0,3,9.0,Fizz
EUW1_7608476104,100,mid,True,Akali,0,0,0,0.0,Diana
EUW1_7600555962,200,mid,True,Smolder,5,2,4,4.5,Malzahar
EUW1_7600490302,100,mid,True,Akali,9,3,3,4.0,Orianna
EUW1_7599496208,100,bot,True,Kaisa,7,3,7,4.667,Vayne
EUW1_7599407885,100,mid,False,Sylas,4,9,5,1.0,Galio
EUW1_7599344396,200,mid,False,Akali,2,4,3,1.25,Velkoz
EUW1_7599336608,100,mid,True,Veigar,0,0,0,0.0,Malzahar
EUW1_7594661034,100,mid,False,Veigar,0,0,0,0.0,Ryze
EUW1_7593661827,100,mid,True,Syndra,4,3,9,4.333,XinZhao
EUW1_7593287622,100,jungle,False,JarvanIV,1,6,7,1.333,Nunu
EUW1_7591599251,100,mid,True,Akali,12,1,8,20.0,Swain
EUW1_7591532007,100,mid,False,Hwei,4,7,3,1.0,Yasuo
EUW1_7591381790,100,mid,False,Orianna,5,5,6,2.2,Fizz
EUW1_7591321852,100,mid,True,Akali,6,5,7,2.6,Galio
EUW1_7591270365,100,sup,False,Yone,2,7,4,0.857,Zilean
EUW1_7591222791,200,jungle,False,Sylas,4,9,7,1.222,Lillia
EUW1_7579992450,200,mid,True,Syndra,14,4,8,5.5,Annie
EUW1_7579907182,200,mid,False,Akali,14,7,10,3.429,Heimerdinger
EUW1_7579847883,200,bot,False,Corki,1,6,5,1.0,Hwei
EUW1_7579793909,100,mid,False,Leblanc,3,6,1,0.667,Velkoz
EUW1_7578529332,100,mid,False,Orianna,5,9,4,1.0,Lux
EUW1_7578477356,100,mid,True,Sylas,10,2,9,9.5,LeeSin
EUW1_7574299354,200,mid,False,Orianna,6,6,12,3.0,Viktor
EUW1_7574239097,200,mid,True,Galio,1,5,10,2.2,Hwei
EUW1_7574175861,200,mid,True,Galio,1,1,13,14.0,Yone
EUW1_7574104411,200,mid,True,Akali,13,2,7,10.0,Orianna
EUW1_7574066990,200,mid,True,Sylas,7,1,7,14.0,Akali
EUW1_7573986699,100,mid,True,Aurora,5,4,8,3.25,Yasuo
EUW1_7561276147,100,bot,True,Xayah,12,1,7,19.0,Caitlyn
EUW1_7561229879,100,bot,True,Kaisa,9,1,11,20.0,Jhin
EUW1_7561157663,200,bot,False,Yunara,5,8,14,2.375,Vayne
EUW1_7561079850,200,bot,True,Kaisa,6,8,13,2.375,Hwei
EUW1_7556283221,100,mid,False,Akali,13,3,9,7.333,Yasuo
EUW1_7556246601,200,top,False,KSante,4,7,4,1.143,Rumble
EUW1_7556194766,200,bot,True,Kaisa,13,6,18,5.167,Ziggs
EUW1_7556122872,200,jungle,False,Sylas,6,6,3,1.5,Nunu
EUW1_7556050908,100,bot,False,Varus,4,7,9,1.857,Jhin
EUW1_7555978458,200,jungle,False,Nunu,3,9,19,2.444,Volibear
EUW1_7555910182,200,mid,False,Ahri,1,5,3,0.8,Mel
EUW1_7555851866,100,mid,False,Viktor,4,3,2,2.0,Morgana
EUW1_7547062211,200,mid,False,Galio,0,4,3,0.75,Riven
EUW1_7546965002,200,mid,False,Leblanc,2,7,2,0.571,Anivia
EUW1_7546852473,200,mid,True,Aurora,13,6,9,3.667,Shaco
EUW1_7546807347,100,mid,True,Akali,0,0,0,0.0,Galio
EUW1_7536708689,200,jungle,True,Sylas,13,7,15,4.0,LeeSin
EUW1_7536659338,100,mid,True,Akali,21,5,6,5.4,Vladimir
EUW1_7536636950,200,top,False,Mordekaiser,2,3,0,0.667,Renekton
EUW1_7536601490,100,mid,True,Galio,6,5,8,2.8,Sylas
EUW1_7536556408,100,mid,True,Sylas,10,1,7,17.0,Ahri
EUW1_7536505270,200,mid,False,Akali,0,2,1,0.5,Morgana
EUW1_7536465716,200,mid,False,Viktor,0,6,2,0.333,Orianna
EUW1_7387947773,200,bot,False,Smolder,4,7,8,1.714,Jinx
EUW1_7372379711,100,sup,False,Alistar,4,10,17,2.1,Rell
EUW1_7372337623,100,sup,True,Sylas,5,4,5,2.5,Mel
EUW1_7372269321,200,top,False,Renekton,3,8,4,0.875,Kled
EUW1_7365044553,100,mid,False,Sylas,7,11,16,2.091,Ahri
EUW1_7365001219,100,sup,False,Rell,1,8,24,3.125,Alistar
EUW1_7364951298,200,mid,True,Viktor,6,11,21,2.455,Leblanc
EUW1_7359812667,100,jungle,True,Graves,12,2,5,8.5,Belveth
EUW1_7359754314,100,mid,False,Leblanc,4,5,3,1.4,Viktor
EUW1_7359705906,200,mid,True,Sylas,6,2,4,5.0,Leblanc
EUW1_7359646321,200,mid,True,Leblanc,12,3,5,5.667,Hwei
EUW1_7359597021,200,mid,True,Leblanc,5,4,9,3.5,Zed
EUW1_7353266411,100,mid,True,Corki,11,8,8,2.375,Aurora
EUW1_7348764326,200,top,False,Akali,2,6,2,0.667,Gwen
EUW1_7342878055,200,sup,True,Sylas,10,4,13,5.75,Lulu
EUW1_7342845943,200,sup,False,Leona,0,6,3,0.5,Taric
EUW1_7340909530,200,mid,False,Viktor,3,7,5,1.143,Akali
EUW1_7340845177,100,mid,True,Akali,7,4,4,2.75,Vladimir
EUW1_7337957849,100,jungle,True,Graves,9,5,9,3.6,Pantheon
EUW1_7337916357,200,top,True,Illaoi,4,1,8,12.0,Sion
EUW1_7337856286,100,top,True,Volibear,5,12,10,1.25,Vladimir
EUW1_7337811074,100,top,False,Jax,4,7,2,0.857,Ornn
EUW1_7336621083,200,mid,True,Akali,5,5,4,1.8,Vex
EUW1_7333865656,200,mid,True,Viktor,9,2,11,10.0,Lissandra
EUW1_7333823758,200,mid,True,Sylas,11,4,12,5.75,Fizz
EUW1_7333771829,200,mid,False,Azir,4,5,2,1.2,Ahri
EUW1_7333676986,100,mid,False,Akali,12,7,5,2.429,Yone
EUW1_7332927201,100,bot,True,Kaisa,10,4,18,7.0,Jinx
EUW1_7332874443,100,mid,False,Naafiri,1,12,9,0.833,Fizz
EUW1_7332821810,200,mid,True,Azir,6,4,8,3.5,Lux
EUW1_7332761002,200,mid,True,Galio,1,5,16,3.4,Lux
EUW1_7332713382,100,mid,False,Akali,3,7,3,0.857,Katarina
EUW1_7330946140,200,top,True,Illaoi,0,6,6,1.0,Gragas
EUW1_7330940540,100,top,True,Akali,14,6,5,3.167,Jayce
EUW1_7329845725,100,mid,True,Akali,16,8,10,3.25,Tristana
EUW1_7329835699,100,top,True,KSante,5,2,2,3.5,Yone
EUW1_7329817938,200,top,False,Volibear,5,6,1,1.0,Trundle
