matchId,teamId,role,teamWin,championName,kills,deaths,assists,kda_ratio,opponentChampion
EUW1_7718130667,100,mid,False,Akali,4,8,4,1.0,Kassadin
EUW1_7709808051,200,mid,True,Akali,6,1,0,6.0,Malzahar
EUW1_7709782202,100,mid,True,Akali,7,2,3,5.0,Yone
EUW1_7707464844,100,mid,True,Akali,17,6,8,4.167,Katarina
EUW1_7703276759,200,mid,True,Syndra,4,5,11,3.0,Fizz
EUW1_7703187859,200,mid,False,Sylas,4,9,5,1.0,Zac
EUW1_7703096682,100,sup,True,Nautilus,1,8,22,2.875,Rakan
EUW1_7701732339,200,bot,True,Xayah,9,6,10,3.167,Samira
EUW1_7701670780,100,bot,True,Xayah,2,4,6,2.0,Jinx
EUW1_7698576580,200,top,True,Kennen,8,7,10,2.571,Gwen
EUW1_7698494008,100,top,True,Kennen,19,7,14,4.714,Gnar
EUW1_7698436712,200,bot,False,Draven,2,11,8,0.909,Varus
EUW1_7698361482,200,mid,False,Viego,7,11,4,1.0,Talon
EUW1_7697059176,200,mid,True,Viktor,3,4,3,1.5,Fizz
EUW1_7696971917,100,mid,True,Ryze,8,5,13,4.2,Velkoz
EUW1_7696899333,100,mid,False,TwistedFate,1,5,5,1.2,Syndra
EUW1_7694892125,200,mid,True,TwistedFate,4,3,10,4.667,Aurora
EUW1_7694862536,100,mid,False,Ryze,8,6,9,2.833,TwistedFate
EUW1_7694818793,100,mid,True,TwistedFate,5,7,22,3.857,Akali
EUW1_7692849232,100,mid,False,Viktor,10,8,9,2.375,Veigar
EUW1_7692765981,200,mid,True,Akali,17,3,5,7.333,Mel
EUW1_7692695420,200,mid,True,Syndra,10,1,5,15.0,Orianna
EUW1_7690697874,200,top,True,Akali,14,5,12,5.2,Ambessa
EUW1_7684495339,100,mid,True,Syndra,10,6,9,3.167,Ahri
EUW1_7684468692,200,mid,True,Syndra,9,5,9,3.6,Orianna
EUW1_7684440684,200,mid,True,Syndra,2,3,5,2.333,Malzahar
EUW1_7684385243,200,mid,False,Akali,7,5,10,3.4,Viktor
EUW1_7683150942,100,mid,False,Syndra,16,9,7,2.556,Ahri
EUW1_7683143673,200,mid,True,Syndra,10,8,8,2.25,Cassiopeia
EUW1_7681780537,100,mid,False,Viktor,1,5,0,0.2,Yone
EUW1_7681776518,100,mid,False,Syndra,0,0,0,0.0,Lux
EUW1_7681685108,200,mid,True,Syndra,13,2,6,9.5,Vladimir
EUW1_7681663228,100,mid,True,Syndra,12,5,3,3.0,Xerath
EUW1_7681631003,200,mid,True,Viktor,7,5,12,3.8,Velkoz
EUW1_7681595751,200,mid,False,Akali,8,4,4,3.0,Viktor
EUW1_7681310640,200,top,True,Volibear,4,13,11,1.154,Diana
EUW1_7681202481,200,top,False,Volibear,10,11,11,1.909,Mordekaiser
EUW1_7681123844,100,top,False,Jax,3,8,5,1.0,Singed
EUW1_7681025264,200,top,False,Garen,10,12,5,1.25,Jax
EUW1_7680960686,100,top,False,Akali,9,5,1,2.0,Mordekaiser
EUW1_7680890300,200,top,True,Volibear,8,5,7,3.0,Malphite
EUW1_7680883596,200,jungle,False,Jax,0,0,0,0.0,Ekko
EUW1_7680811687,100,mid,False,Akali,7,5,1,1.6,Malzahar
EUW1_7680709254,200,mid,False,Akali,12,9,5,1.889,Neeko
EUW1_7680636089,100,top,False,Akali,12,8,1,1.625,Ahri
EUW1_7680575705,100,mid,False,Akali,8,6,4,2.0,Anivia
EUW1_7679663381,100,mid,True,Akali,17,5,13,6.0,Veigar
EUW1_7679418242,200,mid,False,Akali,2,10,6,0.8,Mel
EUW1_7674804885,100,mid,True,Viktor,11,2,19,15.0,Irelia
EUW1_7674746564,100,mid,True,Varus,6,5,3,1.8,Kayle
